BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,[x],2011,Licensed,2,3,3,2,3,3,3,3,4,0
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,[x],2011,SORN,4,4,3,3,2,2,2,2,1,0
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,[x],2010,Licensed,1,1,1,1,2,2,2,2,2,2
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,[x],2010,SORN,2,2,2,1,0,0,0,2,1,1
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2017,2017,Licensed,2,2,1,1,0,0,1,[z],[z],[z]
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2017,2017,SORN,0,0,1,1,2,2,1,[z],[z],[z]
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2016,2016,Licensed,0,0,0,0,0,0,1,1,[z],[z]
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2015,2015,Licensed,16,11,12,16,18,21,21,21,26,[z]
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2015,2015,SORN,6,11,9,8,6,3,4,2,0,[z]
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2014,2014,Licensed,23,27,26,32,33,37,40,37,40,46
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2014,2014,SORN,22,17,18,14,12,8,7,2,4,0
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2013,2013,Licensed,54,51,59,59,64,67,75,84,89,84
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2013,2013,SORN,26,30,25,20,24,18,11,7,6,4
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2012,2012,Licensed,125,140,148,144,170,170,180,189,197,214
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2012,2012,SORN,90,77,78,66,51,51,33,24,25,17
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2011,2011,Licensed,106,113,119,113,126,128,126,141,150,158
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2011,2011,SORN,65,55,55,56,47,44,38,31,18,15
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,2010,2010,Licensed,33,40,44,43,51,49,49,59,66,71
