BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-J,2006,2006,Licensed,1,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,[x],2009,Licensed,1,1,1,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,[x],2008,Licensed,0,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,2010,2010,Licensed,11,12,16,17,17,17,17,16,18,18
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,2009,2009,Licensed,197,240,290,366,400,459,469,484,493,501
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,2009,2009,SORN,18,24,29,21,17,8,7,5,7,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,2008,2008,Licensed,54,70,90,117,133,152,166,174,176,190
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE M-JET,2008,2008,SORN,14,14,15,10,11,11,10,10,5,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,[x],2008,Licensed,2,2,2,2,2,3,4,4,4,4
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,[x],2007,Licensed,37,46,57,79,99,106,116,122,124,135
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,[x],2007,SORN,12,9,12,9,4,9,4,7,2,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,[x],2006,Licensed,0,0,0,0,0,0,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,[x],1969,Licensed,0,0,0,1,1,0,0,1,1,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,[x],1969,SORN,1,1,1,0,0,1,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,2010,2010,Licensed,6,6,8,10,10,10,11,11,11,11
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,2010,2010,SORN,1,1,0,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,2009,2009,Licensed,194,215,244,275,301,334,361,373,384,398
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,2009,2009,SORN,30,23,23,24,18,19,17,11,7,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE S-A,2007,2007,Licensed,1,1,1,0,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DUB,2009,2009,Licensed,2,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DUB,2008,2008,Licensed,177,212,248,285,316,361,390,405,413,428
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DUB,2008,2008,SORN,28,30,33,31,33,22,18,14,19,6
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2013,Licensed,1,1,1,0,0,1,1,1,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2013,SORN,0,0,0,1,1,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2011,Licensed,0,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2009,Licensed,0,1,2,3,3,3,3,3,3,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2007,Licensed,6,8,8,14,17,16,17,22,21,22
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2007,SORN,3,4,5,2,1,2,3,0,1,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2006,Licensed,1,1,1,1,2,3,3,3,3,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,[x],2006,SORN,0,0,0,0,1,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2011,2011,Licensed,2,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2010,2010,Licensed,30,34,32,36,37,38,38,39,39,38
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2010,2010,SORN,0,0,2,1,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2009,2009,Licensed,888,982,1066,1167,1213,1296,1345,1374,1416,1433
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2009,2009,SORN,48,50,43,45,45,33,26,19,11,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2008,2008,Licensed,313,380,417,493,549,607,634,660,676,692
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2008,2008,SORN,39,30,37,32,23,22,17,10,9,5
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2007,2007,Licensed,1,1,1,2,2,2,2,2,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2006,2006,Licensed,0,0,0,0,0,0,0,0,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC,2006,2006,SORN,0,0,0,0,0,0,0,1,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,[x],2008,Licensed,1,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2011,2011,Licensed,1,0,0,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2011,2011,SORN,0,1,1,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2010,2010,Licensed,4,5,7,8,8,9,10,10,10,9
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2010,2010,SORN,1,0,0,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2009,2009,Licensed,143,174,203,217,236,251,266,279,285,292
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2009,2009,SORN,11,10,12,10,7,6,7,4,2,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2008,2008,Licensed,77,94,121,153,164,192,208,214,221,231
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC M-J,2008,2008,SORN,12,14,10,9,10,5,2,5,4,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC S-A,[x],2009,Licensed,0,0,1,1,1,2,3,3,3,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC S-A,2011,2011,Licensed,1,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC S-A,2010,2010,Licensed,9,9,9,10,12,14,13,18,18,17
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC S-A,2010,2010,SORN,1,2,4,3,2,1,3,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC S-A,2009,2009,Licensed,142,152,166,187,214,235,251,264,270,278
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO DYNAMIC S-A,2009,2009,SORN,12,14,16,20,14,13,11,6,3,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEG M-J S-A,2011,2011,Licensed,0,0,0,0,0,0,0,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEG M-J S-A,2010,2010,Licensed,0,0,1,1,1,1,1,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEG M-J S-A,2009,2009,Licensed,14,13,14,18,20,22,25,25,28,28
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEG M-J S-A,2009,2009,SORN,1,1,2,2,2,2,1,1,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,[x],2009,Licensed,0,0,1,1,1,1,1,1,0,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,[x],2009,SORN,1,0,0,0,0,0,0,0,1,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,2011,2011,Licensed,1,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,2010,2010,Licensed,2,2,2,2,2,2,2,2,2,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,2009,2009,Licensed,131,144,153,170,181,188,197,199,198,203
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,2009,2009,SORN,5,7,6,2,3,2,0,0,1,2
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,2008,2008,Licensed,87,100,110,121,138,155,168,172,186,190
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA,2008,2008,SORN,10,9,10,15,9,5,5,2,2,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA 94,2010,2010,Licensed,0,1,1,0,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA 94,2010,2010,SORN,0,0,0,1,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA 94,2009,2009,Licensed,92,94,107,110,111,121,120,118,120,126
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA 94,2009,2009,SORN,8,9,5,2,3,1,2,3,3,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA 94,2008,2008,Licensed,37,43,47,48,50,53,54,55,56,57
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA 94,2008,2008,SORN,1,0,0,1,1,0,0,0,1,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA M-J,2010,2010,Licensed,1,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA M-J,2009,2009,Licensed,41,49,55,64,78,90,92,97,97,104
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA M-J,2009,2009,SORN,7,8,10,8,7,4,3,3,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA M-J,2008,2008,Licensed,21,21,30,35,43,50,56,59,65,69
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ELEGANZA M-J,2008,2008,SORN,4,4,5,3,3,5,5,3,0,1
