BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2008,2008,SORN,80,78,83,66,47,47,32,25,23,7
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2007,2007,Licensed,106,139,160,190,231,258,291,321,342,357
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2007,2007,SORN,59,52,54,57,47,36,29,23,12,5
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2007,2006,Licensed,0,0,0,0,1,0,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO SPORTING T-J,2007,2006,SORN,0,0,1,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2016,Licensed,1,1,1,1,0,0,0,0,[z],[z]
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2015,Licensed,2,2,2,2,2,2,2,1,0,[z]
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2014,Licensed,1,1,1,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2012,Licensed,0,0,0,0,0,2,2,1,0,1
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2011,Licensed,0,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2011,SORN,1,0,0,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2010,Licensed,1,2,2,2,2,2,1,1,1,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2008,Licensed,1,1,1,1,1,2,1,1,0,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2007,Licensed,1,1,2,1,1,3,3,3,2,2
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2007,SORN,3,3,3,3,3,2,2,1,1,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2006,Licensed,1,1,1,1,2,2,2,2,3,3
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2006,SORN,1,1,1,1,1,0,0,1,0,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2005,Licensed,3,3,3,4,4,7,7,7,11,11
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2005,SORN,0,0,0,0,1,0,2,2,1,1
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2004,Licensed,1,1,1,4,7,7,11,9,10,14
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2004,SORN,2,2,2,1,1,3,1,2,0,0
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2003,Licensed,3,3,6,9,11,19,35,66,92,117
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2003,SORN,9,9,9,9,10,11,14,13,10,5
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2002,Licensed,6,8,14,17,24,36,58,93,144,198
Cars,FIAT,FIAT PUNTO,PUNTO 1.2,[x],2002,SORN,28,28,27,28,30,31,32,31,21,20
