BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP700-4PIRELLI ED SA,2016,2016,Licensed,2,2,2,3,3,4,4,4,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP700-4PIRELLI ED SA,2016,2016,SORN,1,2,1,1,0,0,0,0,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP700-4PIRELLI ED SA,2015,2015,Licensed,4,4,2,2,3,3,3,3,4,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP700-4PIRELLI ED SA,2015,2015,SORN,0,0,2,2,1,1,0,0,0,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP720-4 50 ANNIV S-A,[x],2014,SORN,1,1,1,1,1,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP720-4 50 ANNIV S-A,2014,2014,Licensed,1,2,2,1,3,3,3,3,3,2
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP720-4 50 ANNIV S-A,2014,2014,SORN,1,1,1,2,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP720-4 50 ANNIV S-A,2013,2013,Licensed,0,0,0,1,1,1,1,0,1,1
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP720-4 50 ANNIV S-A,2013,2013,SORN,1,1,1,0,0,0,0,1,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR MIURA S-A,2022,2022,Licensed,1,1,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR MIURA S-A,2020,2020,Licensed,1,1,1,1,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR MIURA S-A,2017,2017,Licensed,0,0,1,0,1,1,1,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR MIURA S-A,2017,2017,SORN,0,1,0,1,0,0,0,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,[x],2019,SORN,1,0,0,0,0,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,[x],2018,Licensed,0,0,1,0,0,0,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,[x],2018,SORN,0,1,0,0,0,0,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2021,2021,Licensed,1,1,1,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2020,2020,Licensed,1,1,1,1,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2019,2019,Licensed,6,8,10,10,13,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2019,2019,SORN,4,3,4,3,1,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2018,2018,Licensed,43,43,51,55,51,56,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2018,2018,SORN,12,11,8,5,7,3,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2017,2017,Licensed,18,19,18,22,21,24,28,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR S LP 740-4 S-A,2017,2017,SORN,9,8,5,4,4,3,1,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ 63 LIMITED ED SA,2020,2020,Licensed,1,1,1,1,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ 63 LIMITED ED SA,2020,2020,SORN,0,1,1,1,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,[x],2018,SORN,1,1,1,0,0,0,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2022,2022,Licensed,0,1,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2022,2022,SORN,2,1,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2021,2021,Licensed,10,9,13,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2021,2021,SORN,1,2,0,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2020,2020,Licensed,22,26,29,34,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2020,2020,SORN,6,5,3,1,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2019,2019,Licensed,18,28,38,39,46,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ LP 770-4 S-A,2019,2019,SORN,17,13,10,8,3,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ XAGO EDITION S-A,2021,2021,Licensed,0,1,1,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR SVJ XAGO EDITION S-A,2021,2021,SORN,1,0,0,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR ULTIMAE S-A,2022,2022,Licensed,18,25,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR ULTIMAE S-A,2022,2022,SORN,9,5,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2021,SORN,1,0,0,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2018,Licensed,2,1,0,0,0,0,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2018,SORN,1,1,1,1,0,0,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2016,Licensed,0,1,0,0,0,0,0,0,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2016,SORN,1,0,0,0,0,0,0,0,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2015,Licensed,1,0,1,0,1,0,0,0,0,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2015,SORN,0,1,0,1,0,0,0,0,0,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2013,Licensed,1,1,1,1,2,2,2,2,2,1
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2013,SORN,1,1,1,1,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2012,Licensed,0,0,1,1,1,0,1,0,1,1
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,[x],2012,SORN,1,1,0,0,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2022,2022,Licensed,2,3,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2022,2022,SORN,1,0,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2021,2021,Licensed,16,18,15,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2021,2021,SORN,2,2,6,[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2020,2020,Licensed,15,24,23,26,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2020,2020,SORN,11,6,6,4,[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2019,2019,Licensed,28,35,43,40,48,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2019,2019,SORN,14,12,7,9,6,[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2018,2018,Licensed,38,40,44,40,47,51,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2018,2018,SORN,6,5,3,5,2,1,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2017,2017,Licensed,30,27,31,32,36,42,47,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2017,2017,SORN,16,16,15,13,7,7,2,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2016,2016,Licensed,20,30,32,28,28,36,38,44,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2016,2016,SORN,14,10,10,14,14,11,8,3,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2015,2015,Licensed,20,20,21,23,26,26,27,32,36,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2015,2015,SORN,9,7,9,6,5,5,5,4,0,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2014,2014,Licensed,17,17,21,17,21,28,24,29,32,38
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2014,2014,SORN,8,7,5,8,3,2,3,2,0,1
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2014,2013,Licensed,1,1,1,1,1,0,0,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2014,2013,SORN,0,0,0,0,0,1,1,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2013,2013,Licensed,19,21,24,22,24,22,22,19,26,30
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR V12 S-A,2013,2013,SORN,11,14,7,9,8,9,6,7,6,5
