BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,[x],2018,SORN,1,1,0,0,0,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,[x],2017,Licensed,1,1,0,0,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,[x],2017,SORN,0,0,1,0,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2020,2020,Licensed,12,12,11,11,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2019,2019,Licensed,79,81,77,89,92,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2019,2019,SORN,9,7,9,6,1,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2019,2018,Licensed,2,2,1,2,2,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2018,2018,Licensed,130,140,142,144,149,179,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2018,2018,SORN,33,27,26,23,24,2,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2018,2017,Licensed,4,3,2,3,5,4,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2018,2017,SORN,0,1,1,1,0,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2017,2017,Licensed,46,45,49,49,49,48,55,[z],[z],[z]
Cars,MCLAREN,MCLAREN 570S,570S SPIDER S-A,2017,2017,SORN,5,6,4,4,2,3,1,[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2022,2022,Licensed,1,1,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2022,2022,SORN,0,1,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2021,2021,Licensed,16,18,22,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2021,2021,SORN,6,5,2,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2020,2020,Licensed,90,88,107,116,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2020,2020,SORN,18,14,3,2,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2019,2019,Licensed,140,133,148,153,190,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2019,2019,SORN,54,54,47,48,14,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2018,2018,Licensed,17,19,17,15,18,27,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 600LT,600LT V8 S-A,2018,2018,SORN,6,4,6,8,5,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 620R,620R V8 S-A,2021,2021,Licensed,8,7,4,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 620R,620R V8 S-A,2021,2021,SORN,8,9,8,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 620R,620R V8 S-A,2020,2020,Licensed,5,6,4,10,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 620R,620R V8 S-A,2020,2020,SORN,5,3,5,1,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2019,2019,Licensed,0,1,1,1,1,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2018,2018,Licensed,1,1,1,0,0,1,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2018,2018,SORN,0,0,0,1,1,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2017,2017,Licensed,0,0,0,0,0,0,1,[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2017,2017,SORN,1,1,1,1,1,1,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2017,2016,Licensed,0,1,0,1,1,1,1,[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2017,2016,SORN,1,0,0,0,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2016,2016,Licensed,8,10,8,10,10,10,11,9,[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2016,2016,SORN,3,2,4,2,1,2,1,0,[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2015,2015,Licensed,2,3,2,3,3,3,2,2,1,[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2015,2015,SORN,2,1,1,0,0,0,0,0,0,[z]
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2014,2014,Licensed,0,1,2,0,0,0,0,1,1,0
Cars,MCLAREN,MCLAREN 650S,650S COUPE S-A,2014,2014,SORN,2,1,0,1,1,1,1,0,0,0
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,[x],2016,Licensed,0,1,0,0,0,0,0,0,[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,[x],2016,SORN,1,0,0,0,0,0,0,0,[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,[x],2015,Licensed,0,0,0,0,0,0,1,0,0,[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,[x],2015,SORN,1,1,1,1,1,1,0,0,0,[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,[x],2014,Licensed,1,1,1,1,0,0,0,0,0,0
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,[x],2014,SORN,0,0,0,0,1,0,0,0,0,0
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2018,2017,Licensed,1,1,0,0,0,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2017,2016,Licensed,1,1,1,1,1,1,1,[z],[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2016,2016,Licensed,17,17,17,16,18,15,17,21,[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2016,2016,SORN,5,5,4,7,6,6,3,0,[z],[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2015,2015,Licensed,5,7,8,7,9,8,7,9,11,[z]
Cars,MCLAREN,MCLAREN 650S,650S SPIDER S-A,2015,2015,SORN,5,4,3,4,2,2,1,1,0,[z]
